company_name,corp_code,SDG1_score,SDG2_score,SDG3_score,SDG4_score,SDG5_score,SDG6_score,SDG7_score,SDG8_score,SDG9_score,SDG10_score,SDG11_score,SDG12_score,SDG13_score,SDG14_score,SDG15_score,SDG16_score,SDG17_score,Risk_Tag,SDG1_score_z,SDG2_score_z,SDG3_score_z,SDG4_score_z,SDG5_score_z,SDG6_score_z,SDG7_score_z,SDG8_score_z,SDG9_score_z,SDG10_score_z,SDG11_score_z,SDG12_score_z,SDG13_score_z,SDG14_score_z,SDG15_score_z,SDG16_score_z,SDG17_score_z,SDG1_score_norm,SDG2_score_norm,SDG3_score_norm,SDG4_score_norm,SDG5_score_norm,SDG6_score_norm,SDG7_score_norm,SDG8_score_norm,SDG9_score_norm,SDG10_score_norm,SDG11_score_norm,SDG12_score_norm,SDG13_score_norm,SDG14_score_norm,SDG15_score_norm,SDG16_score_norm,SDG17_score_norm,sector5
한국가스공사,036460,0.797814238,0.0100891714,1.399327524,0.12846597240000002,1.5071478702,0.8576548665,3.0680821971000003,0.7667441652,0.8408070216000001,0.8777124256000001,0.8407797404999999,1.2409611191999999,0.5085105299,1.9112312974999999,2.6205631036,5.2826089264,0.858824694,0,1.0255413239158324,-0.4285066920035077,0.4224248131535498,-0.8128275307959019,1.163679176689114,-0.010184484986794322,0.5291228885692668,0.93788970203443,0.11508622935173785,1.6743532699463488,0.04241831726623396,-0.8538487130240408,2.3100470312238963,0.6638886686537462,0.3450446619664289,1.8707616026068963,-0.2093912890304183,0.4229845505560396,0.03791729695466439,0.3775621604799275,0.11791024877772965,0.4033631627122018,0.3105438694932271,0.4831902987907194,0.36073465639226904,0.31539171452365655,0.5913648008899912,0.3768689773534238,0.3641947245373998,0.563997667776452,0.284765195574634,0.48798190763746463,0.639305406461262,0.22954226099835195,인프라
한국금융지주,071050,0.3116164227,0.0321162414,0.8864798817,0.13500502550000001,1.60866507,0.1369957192,0.9715249281,0.25869355,0.6203904492000001,0.22896793920000003,0.716199343,0.3070284999999999,0.13726539470000002,0.3454809275,0.9040033299000001,1.6409824617,0.556784952,1,-0.9035201188122988,-0.2114081083593585,-0.3303307799154631,-1.5530043941105556,0.7400502366627006,-0.5203160593231186,-0.7958002217150538,-0.17341695063024218,0.38460195534484715,-1.0549207890830987,0.20381425393001001,-0.7577412125120719,0.05346778224953131,-0.7269073243566072,-0.6826838702488011,-0.5139780161272586,-0.7741071676185113,0.17747053648905275,0.06340125484443628,0.25960911388640123,0.01602166786886659,0.3433139608949939,0.22059453076887228,0.26687632373056813,0.20037439116064398,0.3585418917120409,0.13556400394266785,0.4091166717077114,0.38039100044763474,0.21675311948099632,0.12864425413596223,0.2994284423405891,0.26359871217287045,0.15207561908810144,금융업
한국콜마,161890,0.3206360014,0.0,1.295124951,0.310994827,1.9268207048000001,1.2195835800000001,2.05921132,0.058637865600000005,0.244534125,0.1815253452,0.0675804825,3.8922900352000003,0.020705400800000003,1.6933738592,2.49712285,2.5336037556,0.851511657,1,-0.42910302066760786,-0.3042390841770733,-0.17765084161080477,-0.5636481226522311,2.312227470749768,0.02328920070962826,-0.1043239354046332,-0.591469709983631,-0.6909434384293736,-1.102384864408705,-1.1949291575466543,0.4647006337015591,-0.5710613837346162,-0.07191250007195361,0.0118863938872837,-0.0692184802793496,0.13182432795494667,0.23785018201386876,0.052504358886410384,0.28353329863184096,0.15221088359327128,0.566169339982711,0.3164461426410465,0.37977041018026425,0.14004986128405494,0.18634424296817942,0.12763729416861444,0.12964092438862318,0.5863999520905628,0.12064998096367203,0.20216934992189484,0.42685862072897907,0.33366889243655695,0.27634956537463057,제조업
한국타이어앤테크놀로지,161390,0.23617404570000003,0.07658640779999999,1.2417465907,0.8065151208,1.5294994119999998,0.6071432465000001,1.6276908212999999,0.0732883158,0.6634644842,0.2931843864,0.4963143564,2.9723067718,0.0685582148,1.247945146,2.3554598968000002,1.6878494157,0.511464385,2,-0.7411239494701447,-0.01392910128172679,-0.25222742061088427,1.2781599662494758,1.4972469356744222,-0.8779420688267998,-0.6047495063604893,-0.45115297240127467,0.704621930385673,-0.6887880079869259,0.5098535520534995,-0.37533660272719266,-0.39127345470359787,-0.3510591343520652,-0.12010461077005377,-0.7870785962275494,-0.5958173172007949,0.1981388959934076,0.08658218313980132,0.2718475206999648,0.40574381847087093,0.4506462347274746,0.15753585202047984,0.2980682769508292,0.16029740430126801,0.40977793211729363,0.1967097920910082,0.4702648142836083,0.44483477992819975,0.1483159174619034,0.17083431907461857,0.40264273050501764,0.22057275019711958,0.17653307906438723,제조업
한독,002390,0.430277196,0.058680964,2.9565861599999996,0.5428812080000001,0.49430258639999997,1.1046983232,1.9611313713000003,0.0584894504,0.224070912,0.138593006,0.291639304,2.5330777858,0.10236401919999999,1.1571610799999998,1.808904994,1.5079780864,1.098928976,2,-0.024064478869886895,-0.08180183787600775,2.143628650905867,0.29825444234003895,-0.6261360244743139,-0.14576920412334246,-0.21806526281638358,-0.592891177337012,-0.7591116930577094,-1.261410773471889,-0.3039997766886348,-0.7763968374484612,-0.2642615811217499,-0.4079527869594686,-0.6293438232204525,-0.9397499420492236,0.6612540862892026,0.28939993364228916,0.07861499177356299,0.6472662162726318,0.2708555394603914,0.14965770476244938,0.2866367905335951,0.3612003977243912,0.1398447451882773,0.17543032596019453,0.10107926645920672,0.3076529546729793,0.3772471079612206,0.16786062465095253,0.16444783920870598,0.30921453895173884,0.1965199579339256,0.34897572493658885,제조업
한미글로벌,053690,0.8658716156999999,0.043042939999999995,1.2248459079999998,1.725098001,1.348362531,0.1486635568,2.8703867094,0.042580161,1.8082444285,0.19056468819999997,0.759334128,1.0169560472,0.044354896,0.7925014227,2.0144763509000003,2.0077955625,0.8427014532,0,1.2562093965324752,0.6265530910160516,0.15240573766829893,2.7816264118626757,0.8601875397260783,-0.9501062402389141,0.3196902665294596,-0.8319353565079041,2.0571924042255216,-0.8429405005141379,-0.14200915826037433,-1.0872671848724018,-0.6549836430016475,-0.8993471331028879,-0.6474042151881046,-0.6955169083149355,-0.25085031876631037,0.45234195886394524,0.161764715165985,0.33525151824079014,0.6127025470936824,0.36034336676367235,0.14481144948461339,0.4489972179779172,0.10535094648563688,0.626328025403719,0.17096564642235898,0.3400194693406873,0.32485846095274196,0.10773594436408908,0.10928737834808853,0.3059010671706445,0.23499794732089344,0.2238549907580912,인프라
한미약품,128940,0.8896048881,0.0528960252,2.0763712611,0.5236570031,0.9872893602000001,1.2886578198,1.4236980472,0.048802723199999995,0.3387490506,0.5838746247000001,0.5706306048,4.446300572699999,0.20573731799999997,2.026689221,2.4159771136,2.6481046333,0.3287932974,0,1.6727924305630992,-0.10373034362946114,0.9138528470795583,0.22679965727766377,0.38507236525282307,0.12493480016167285,-0.8413157894395029,-0.6856671630575241,-0.37708915571773244,0.3879592707043577,0.8053586731259266,0.9705679678027878,0.12412250237972716,0.13697358796644898,-0.06371916867623553,0.02796767587045049,-0.9867014725768527,0.5053609921677367,0.07604093022131164,0.4545664820907604,0.2610194759328852,0.2929960155733036,0.3343688804501047,0.25944521070584153,0.12645727770430829,0.2365931398013343,0.3765313333226993,0.5293081769695115,0.6716499780867974,0.22762553461452323,0.22561742777219818,0.41298755422628725,0.34898020322738393,0.12291233978463596,제조업
한샘,009240,0.3863373785,0.0,0.6837795549,0.6613635392,0.3385926975,0.12766824840000002,1.5203573776,0.1115867981,0.356520635,0.1261176144,0.6564660081,3.2959240056,0.028466856500000002,0.6831729256000001,1.1162462592,4.6330421715,1.2779409069,2,-0.12351184205194478,-0.6610236025960042,-0.8664393089383119,0.9666076123029099,-1.2777392150201468,-1.1086820959678672,-0.819034546530242,-0.7381545921035824,-0.8037180221324317,-1.5080230342993763,1.4850599324905733,0.3686985035171061,-0.4912040310465478,-0.2767128296415856,-0.33572389158269783,2.4730639556337137,0.6890362089784343,0.27674314584776716,0.010623470073179223,0.17560358156587094,0.3628572750030335,0.05729326079555774,0.1168504408389026,0.2630829646144051,0.11888340237208551,0.16828873525633012,0.059893931974284206,0.6651157996228456,0.5702214334509688,0.13293850589575354,0.17917991047854784,0.3630838768703791,0.7341958608488744,0.3527868232808647,서비스·유통
한섬,020000,1.1634849630000001,0.08540020320000001,1.1385126939,0.347352892,1.1378716405,0.9176108976,1.1210556168,0.1350093162,1.0806357312000001,0.728117261,0.1812824682,3.4197891576,0.031876569300000004,2.8239709267,4.200043545,2.2770252024,1.0459379784,2,2.68456530087572,0.019480649421022442,-0.3964587311442513,-0.4285081918528638,0.6939448812635218,-0.42107608524303614,-1.1922840782801178,0.13998854872736008,2.0943272415270098,0.922249197382234,-0.7428137753275775,0.033259816004109585,-0.5290901581872212,0.6366236961069438,1.5985412553561893,-0.2869974513831235,0.5478626261980069,0.6341305653977257,0.09050396220314244,0.24924719378345944,0.17081348583026681,0.3367785485809844,0.23809309485038183,0.20214426615300563,0.24559844239936168,0.6322734106071858,0.46576010592434275,0.21997578014800612,0.5136924684379731,0.12710855283223638,0.2817046222024797,0.7179561849030983,0.2993586404173627,0.3334209017633374,제조업
한화투자증권,003530,0.42945210559999997,0.03557433,0.9168012360000001,0.6177514731,1.2721557726,0.20118021000000003,1.7772744600000001,0.115506864,0.5823209747,0.6931259061999999,0.7216040056999999,0.7441456359999999,0.24776136,0.3328368329,0.7757416107999999,1.6529405732,0.5676452386999999,0,-0.16712064763463028,-0.18513389109334358,-0.2563076181972016,0.28874468538760883,0.3197766945787922,-0.37068441067439595,0.34223117891938626,-0.3544990409305179,0.22370712268068943,0.5906159709549104,0.21808704833002135,-0.40673089180860694,1.1873445777068194,-0.7421838647944824,-0.8872257447337811,-0.5041893826686139,-0.7523808420462299,0.2711929997144587,0.06648543455281866,0.27120817409073206,0.2695464798441097,0.2837403851485967,0.2469784452828836,0.4526773669033151,0.174244454873822,0.33278220547268816,0.4103758954601361,0.41196844555597123,0.43954413595910663,0.39123515277994636,0.12692941753370487,0.2619019185324666,0.2651408742980169,0.1550559947902004,금융업
